# features	PSMA264U	HSM67VD2	HSMA33OT	HSM6XRVK	CSM79HI3	PSM7J182	MSM6J2RS	CSM79HP4	CSM67UGO	MSM9VZMI	ESM5ME9U	PSM7J154
1.1.1.1	2.857956178333805	3.8072816494341954	7.856133751605833	4.6985093803345075	1.6765519914982032	6.574585490134089	4.3063397394549785	4.00742229551328	3.311336903029657	9.789552941024898	0.0	0.3777111543887133
1.1.1.100	0.5963218821121608	2.9631530493944913	0.6032927799494725	0.5192877936241828	0.9341228284763172	1.0973260853322584	1.789528289840172	0.878943670355573	2.183569449954673	1.4663610021071116	0.8859238206894475	1.2048595875181796
1.1.1.103	1.4735371604900886	1.4265343605699752	0.5563977828242475	0.34456843348887567	1.1533661296256774	0.0	0.0	0.945444976879178	2.519379643370544	2.5598559628976467	2.3025144451181356	2.1022182504674114
1.1.1.107	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.1.1.11	NaN	NaN	NaN	NaN	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN
1.1.1.121	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.1.1.122	0.24050521084888832	0.0	0.0	0.4614172961582817	NaN	NaN	0.0	0.268080894757975	0.0	0.1019183747044172	0.0	0.0
1.1.1.125	NaN	NaN	NaN	NaN	0.0	0.0	NaN	NaN	NaN	0.0	NaN	NaN
1.1.1.127	0.0	NaN	NaN	0.0	0.08819312049053185	0.0	NaN	NaN	NaN	0.0	0.0	0.0
1.1.1.130	NaN	NaN	NaN	NaN	0.22327914094299345	0.0	NaN	NaN	NaN	0.0	NaN	NaN
1.1.1.131	0.1877558765465355	0.4362481568654996	0.12275210601217817	0.8001839589442798	27.231387342049874	0.0	0.0	0.18843960480415844	0.0	0.22629638745931727	0.0	0.0
1.1.1.132	3.505980508701259	NaN	NaN	NaN	0.0	0.0	NaN	0.0	NaN	0.0	NaN	NaN
1.1.1.133	0.8859874932113488	0.5782639316613399	0.3495916866961519	0.8826811941908962	0.2640902449917091	0.33263174295265935	1.4527762622426483	0.42018944452221435	1.5580809038696612	0.3146928893444606	0.2893811316393154	0.1666674019424646
1.1.1.136	0.0	0.0	0.0	1.831828563611665	NaN	NaN	NaN	NaN	NaN	0.0	NaN	0.0
1.1.1.14	0.0	0.3518197106048465	0.17394632396202261	0.049743205876227575	0.3109625167142847	0.9074678692126031	0.0	0.0	0.15351621821747016	0.0	0.0	0.5662352507287272
1.1.1.140	NaN	NaN	NaN	0.0	0.0	0.0	NaN	NaN	NaN	0.0	0.0	NaN
1.1.1.144	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.1.1.154	0.0	NaN	NaN	NaN	1.2550371867537031	0.0	NaN	NaN	NaN	0.0	NaN	NaN
1.1.1.157	6.105080126481299	18.390025087462437	6.293057759896566	9.948048848399356	29.577178955021544	6.874146772754911	0.0	0.5769239287909781	6.73846945481526	11.953449192392217	9.37429511225927	3.3811493798643113
1.1.1.159	NaN	NaN	NaN	NaN	0.0	0.0	NaN	0.0	NaN	NaN	0.0	0.0
1.1.1.163	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN
1.1.1.169	0.1605998580567129	0.15103086402945942	0.4134850777387877	0.2767222448055695	0.4442032701640015	0.7912928443289854	0.0	0.1689052877837778	0.1542837760313227	0.18507323702216083	0.0	0.16461184930870026
1.1.1.17	0.634303673604434	0.0	NaN	0.0	0.0	0.0	NaN	0.0	0.0	0.0	0.0	0.0
1.1.1.179	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	0.0	NaN
1.1.1.18	1.7847467219058577	0.6370525297654104	0.654420353790193	0.15130558441589567	0.0	0.0	0.0	0.24048924519002401	5.442959958597442	0.0	1.1605658724024057	1.9648349384993407
1.1.1.193	0.11249175004622444	0.14879838907024698	0.14087919291586168	0.07145142474220352	1.2640887488539119	0.0	0.6745755271763857	0.02129814229057159	0.1467562056295173	0.08922210543658246	0.0	0.0
1.1.1.2	0.0875866142829852	0.0	Inf	0.0	0.28995363354560116	4.97141921248879	0.3526650600718635	NaN	6.341086601021685	0.0	4.55228233947145	0.0
1.1.1.201	NaN	NaN	NaN	NaN	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN
1.1.1.202	0.0	0.0	NaN	0.0	0.0	0.0	NaN	0.0	0.0	0.0	0.0	0.0
