features	SH_002	SH_007	SH_011	SH_012	SH_013	SH_014	SH_015	SH_016	SH_017	SH_021	SH_022	SH_023	SH_024	SH_028	SH_029	SH_031	SH_032	SH_033	SH_034	SH_038	SH_039	SH_042	SH_043	SH_044	SH_045	SH_047	SH_050	SH_051	SH_053	SH_054	SH_055	SH_057	SH_058	SH_059	SH_060	SH_061	SH_063	SH_064	SH_065	SH_066	SH_068	SH_071	SH_072	SH_073	SH_077	SH_078	SH_079	SH_082	SH_083	SH_084	SH_085	SH_086	SH_087	SH_089	SH_091	SH_093	SH_094	SH_095	SH_096	SH_099	SH_100	SH_102	SH_103	SH_104	SH_105	SH_106	SH_107	SH_108	SH_109	SH_110	SH_111	SH_112	SH_113	SH_114	SH_117	SH_118	SH_119	SH_123	SH_124	SH_125	SH_127	SH_129	SH_133	SH_134	SH_137	SH_138	SH_141	SH_142	SH_143	SH_144	SH_146	SH_148	SH_149	SH_150	SH_151	SH_152	SH_153	SH_154	SH_160	SH_162	SH_164	SH_166	SH_179	SH_189	SH_191	SH_193	SH_194	SH_195	SH_198	SH_199	SH_200	SH_205	SH_214	SH_227	SH_228	SH_231	SH_234	SH_235	SH_237	SH_238	SH_239	SH_240	SH_241	SH_242	SH_243	SH_245	SH_247	SH_250	SH_252	SH_253	SH_500	SH_501	SH_502	SH_503
1.1.1.1 Alcohol dehydrogenase	16.5971004260974	6.76644025966215	3.46855010488895	3.3555797083565	6.38812968561778	10.6623993958311	7.57964957381904	8.22881903939235	3.78645908110211	21.8781025005577	5.22400031088548	5.17313000707167	3.74174028334328	7.89827070865654	8.80202064829787	5.67444962914634	7.85860017504246	7.35442878420261	15.4282985320128	8.9406308262484	8.51861015582242	9.34130974501961	10.5031993788408	3.91767967002168	11.094000309334	4.06974954135144	8.95699068605712	4.52627000465301	28.8865973773743	6.10094026563494	4.51693975089077	4.65023937818534	6.38870039423584	3.30236979165349	4.102049658168	22.3678973573671	2.59884964853157	5.84838943789959	5.47013059772117	1.04404002304196	8.99923971489509	3.47082977276825	10.577800682522	6.69016069555594	3.90198013863735	4.48805965527887	5.94908049093002	9.92425045997908	10.6849009804038	2.98884947548501	5.51698980543232	9.45873109419547	5.72466036691638	21.0187009906954	3.66999996225405	6.68277989265451	12.4952011041509	6.43699037994336	9.77972114422737	5.28102995928326	4.6457797098757	7.42677917312469	5.44170055153268	4.74355989768141	5.40734012615325	3.11013960039371	2.17313005162922	5.08985942471864	11.6950006736554	2.49347027716169	12.0520006178338	8.28521042304284	7.71510047412996	6.76669011124439	6.8349502408158	3.86963032113327	3.18106955288795	1.54223002088025	4.27288043735068	7.72696003832572	12.5931998542589	9.18722994023339	8.44402009828839	15.4440986184327	8.4568905227796	8.10395925849583	5.37663053767381	13.2405011965573	6.00119992668334	6.89514959028332	4.01610023697401	10.8935991151129	14.4734011508076	7.01731947801669	7.08710964567995	10.1933017492725	4.87346041376654	4.13144986665291	8.13092925488977	2.3382200163161	4.52311017173345	7.76972036745339	6.5875494401637	12.1698016827915	9.47642163489121	8.44893051600998	6.00478983787668	3.50716013915675	7.67737031593914	3.67335980538907	2.59867010128395	8.31243917997788	7.23631963384223	5.90160070743078	4.24327043356464	9.50182053555681	10.2612988121213	10.9355019410188	8.79711056566828	8.10181896371254	13.6761993595559	6.29014977932268	8.66256040776231	2.7618100117874	3.78331941410002	2.89546019683541	9.46905922591388	7.57891928796432	3.97609041572013	11.6575994665016	11.985801089809	4.69741071045519	5.48637999341086	5.41396933063524
1.1.1.100 3-oxoacyl-[acyl-carrier-protein] reductase	25.6473006584431	12.4023004759383	18.4715005585782	21.961398091269	25.2526987572263	22.306898736013	19.3783989104108	20.3572976235501	12.5544969532747	23.2888026617937	21.4642012773561	12.7449000174223	13.4670010197887	22.4147020111143	18.6192013713656	24.8290983772943	15.1488003374244	12.6647979063189	26.6052974685326	21.498901986821	20.5085003751415	24.2163993389892	10.0947994029936	20.0166983140335	33.4323009321928	11.8599986634137	23.6843018140896	21.6903000222976	33.2779969786773	11.9385005198023	13.9138992326485	14.9789979970578	20.7044012776334	10.0710993646143	19.5294983725678	22.701897317907	23.3495968422005	8.64796916882639	20.829102275996	9.24911020412786	16.3994994804475	10.1788993335976	23.2908015028157	19.2817020046607	13.3526004744179	22.3448982837219	9.81305080979258	17.3640008048041	19.62520180073	21.9078961553702	20.286699284549	18.2571021119998	16.9001010831951	23.4694011062067	24.1309997518127	19.8874996805471	27.5157024314526	14.6775008663395	23.3355027302538	19.0425998531816	15.8654990092154	15.1554983126323	21.0675021352545	15.6667996620671	24.6348005747299	13.6262982492251	10.8743002583516	22.7657974268957	23.3079013425817	22.8073025351457	22.9102011744685	22.1554011312548	21.5737013258075	21.3058003502674	15.3142005395652	16.3113013536439	20.5967971050378	25.5481003458957	21.5809022089132	24.6249001221395	27.6713996797589	19.9704998700839	25.006700291078	25.2098977448234	16.1894010007802	22.0098979861163	17.6512017651555	18.428201665375	16.358599800147	21.8334987026317	23.2916013743442	8.06627934477613	26.1792020815581	22.1758983504458	19.3692990316319	16.5249028358386	21.3047018088118	18.9115993896073	11.865198912685	13.0958000913825	12.3355004683543	22.8949010827686	15.6091986734679	22.2211030726452	15.8782027393393	29.9877018314689	19.496499473614	19.4342007711083	24.0947009915451	12.5516993350235	14.0762005486241	19.1356981122634	24.0838987813547	27.0535032429305	11.0327011272883	20.6488011638408	25.8564970067743	20.5830036534214	25.265701624625	23.1212970426011	17.0319992024068	12.6356995567018	22.1051010405269	14.6279000624319	14.3640977755184	15.711901068106	22.7083981436112	19.9438981262807	14.831801550739	19.7365990967743	14.9363013580832	17.4678026419003	24.7494999702759	22.4796972206867
1.1.1.103 L-threonine 3-dehydrogenase	15.502200397988	10.9265004193045	0.72379002188741	4.83239958000166	6.02672970340354	2.97585983137737	5.28947970258843	4.56981946653299	0	15.7454017996207	4.42617026340582	1.75123000239393	2.20345016685626	4.72874042427678	1.44987010678772	5.98295960898368	1.36635003043408	1.70859971754284	9.27141911783374	9.93031091770968	1.49436002733483	6.79212981460203	2.28054986512828	3.69605968868828	13.1234003659198	4.01613954739312	2.0686601584482	4.73870000487138	29.8784972873193	2.22224009675633	2.0493798869767	5.96352920257656	3.20500019777511	3.81694975918864	2.64134977989104	10.0475988129365	6.39602913500102	1.06077989804632	5.18341056639127	3.25358007180651	9.3471197038739	0.15755898968477	10.6637006880646	5.19140053973434	6.16486021903748	3.02754976745844	6.51560053768039	2.92629013563062	4.93630045293518	2.91107948913291	4.37518984570018	6.18391071536098	2.09608013434616	0.959001045201555	3.8526399603756	4.02213993539237	11.5480010204507	1.00546005934728	2.00388023445399	2.72394997899835	8.55363946583377	3.78384957871754	2.87068029095206	2.56597994465181	8.51348019861949	1.35116982639495	0.62101901475417	4.43071949921793	3.42513019729435	9.05062100602178	2.16982011123366	5.81233029677759	4.23795026044239	4.48985007381314	7.39321026048498	6.26008051951219	8.06823886597675	10.3581001402383	5.19332053156232	10.2591000508851	3.70697995709912	0.821441994656191	1.99202002318711	11.4003989801659	1.02248006320665	1.45814986658075	3.31339033134566	13.9859012639199	4.66748994297728	1.30027992273607	6.41641037860671	0.901847926742893	5.83395046386849	11.2337991643739	7.897029605188	3.08504052942381	4.52130038386745	6.56198978820456	10.8920990018589	5.45366003805564	6.40140024304836	9.16881043362055	2.21214981200266	3.80810052656891	0.707046121981011	0.153288009361912	0.816008977968574	2.7181001078485	2.85977011768526	4.63999975417745	1.80815007047319	2.12646979022375	3.71207981216876	4.20615050419547	0.853484087206443	10.6147005982827	2.15959974999825	1.83245032525444	2.70550017396799	1.59199979637049	7.93044962862418	1.92099993260556	10.3553004874426	4.24390001811297	3.10776951871838	7.75833052741674	3.40331972178202	7.90881925697039	2.82378029524035	9.12259958251335	1.76628016059902	0.270004040836491	9.93023998807378	4.52138944099078
1.1.1.107 Pyridoxal 4-dehydrogenase	0	0	0	0	0	0	0	0	0	0.399036045607825	0	0	0	0	0	0.027099198228932	0	0	0.030083897137547	0	0	0.027209099257301	0	0.009948339162071	0.98562602748221	0	0.029074802226973	0.038687600039771	3.0522797228823	0	0	0	0.053844003322622	0	0	0	0	0	0	0	0	0	0	0	0	0	0.149291012319793	0	0	0	0	0.006334120732737	0	0.009698170457114	0	0.0397870993609	0.217321019203789	0	0	0	0.160550989973751	0	0	0	0	0	0	0	0	0	0	0	0	0	0.081683602877958	0.025769102138529	0	0	0	0.036155600179332	0	0	0	0	0	0	0	0	0.034799399574856	0.052747996865661	0	0	0	0	0.312615984370764	0	0.004228010358967	0	0	0	0	0	0	0	0	0	0	0	0.007180960295511	0	0	0.17442098279337	0	0	0	0	0	0	0	0	0	0	0	0	0.02876149554588	0	0.01177249903761	0	0	0	0	0	0.501510999397685	0
1.1.1.121 Aldose 1-dehydrogenase (NAD(+))	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.122 D-threo-aldose 1-dehydrogenase	1.66353004270781	2.10712008086073	0	3.21328972072335	3.81296981235041	0.326194981516651	2.58637985457562	4.69025945247318	0.082584979958277	0.607830069471938	3.65957021778468	0.919384001256798	4.37940033163009	3.70500033242374	0.45605003358959	0.84306694490136	0	0	1.61996984586149	2.32246021463016	1.03808001898856	1.918009947646	0.853962949496631	1.81887984679939	3.99958011152029	4.54716948754764	1.4363401100159	7.68733000790258	2.22700979780889	0.189197008237638	1.04291994248297	1.94349974012163	1.40709008682914	1.30176991787134	4.37192963567836	3.9066495384528	3.70044949955121	0.387636962743436	3.03626033177217	2.76762006108137	2.93439990703528	0.596920960920182	1.26647008171772	4.61456047976201	1.9800900703526	1.53321988223568	0.219788018137347	1.32924006160895	3.81922035043638	1.04451981669659	3.04594989257849	2.26656026219796	1.34322008609235	0.038284301804492	3.38164996521973	4.15833993320459	1.85159016361762	0.252677014914261	0.655444076686957	0.942109992736332	4.94469969120845	2.12074976388208	1.55148015724717	0.787491983013798	2.00754004683591	1.69071978276787	0.343764008167145	3.15442964347059	0.503243028987805	2.93542032628665	1.03428005302133	2.11250010786426	0.627166038542364	2.79007004586875	2.69427009492722	3.41460028337119	2.12037970197215	5.18825007024372	3.53706036203581	2.25322001117597	2.26119997383113	0.104541999319912	1.39801001627284	1.65947985154957	0.764897047283641	0.364232966673048	0.695804069581799	1.53665013886861	2.15558997366516	1.15499993136875	5.71639033730133	0.537409956346189	3.41953027189335	1.43084989356623	2.96760985163434	1.69414029073142	5.36476045547889	2.24953992739362	1.40589987116474	2.28198001592366	0.258739009823803	3.16810014982896	2.4925797881706	0.800173110644737	0.242541041843666	0	0.214859994198995	2.59356010290702	3.79391015612699	0.763090959572204	0.884035034455531	3.2005696842638	0.839425957525046	2.85566034231086	0.969067099016369	0.583774032903606	0.910901894551264	0.144148025585842	0.714321045931986	0.462031940902418	1.03977995130804	0.353274987606054	1.94110009137108	2.35356001004499	0.780128879186121	6.42875043703096	1.19059990266965	1.58940985067574	1.71019017880893	1.20282994495369	0.736916067004093	0.157346023797642	4.08512999509376	3.53982956234751
1.1.1.127 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase	7.99760020532239	1.1076300425053	0	0.360054968706542	0.117166994233802	1.27437992778917	0.391473977988593	0.628750926601503	0.285056930822384	9.60005109723784	0.470271027986299	0.075970700103852	0.398249030157408	0.027350902454005	0.223884016489797	0.329626978457229	0.209711004671103	0.317231947556801	3.57629965971866	3.40234031442728	0.156567002863924	3.35088990853411	0.538000968182623	0.235478980166076	3.84278010714824	1.77214980028403	0.267676020502538	0.835805000859208	11.6886989387783	0.050584802202462	0.138247992375623	0.065254891274331	0.491695030341664	0.393798975155223	0.130594989117258	7.22705914616633	0.03791799487197	0.180342982666875	0.111058012135309	0.086862601917058	2.07168993436679	0.147486990344174	2.9122201879081	1.0386401079843	0.053560201902994	0.440489966166626	0.567494046830744	0.269318012482621	0.917175084156317	0.045534192009177	0.355286987470094	1.66793019294783	0.817175052376018	0.67012603158572	0.022542199768154	0.489236992141386	3.41569030183089	0.322034019008058	0.148261017346539	0.341996997363203	0.924159942287136	0.097705689121742	0.657994066689673	0.143476996905201	0.582338013585946	0.569487926829344	0.037621300893807	1.16649986815635	0.177701010235934	0.358113039806055	0.355691018234144	2.02159010322239	1.63255010032804	1.6930900278344	3.34175011773988	1.19065009880979	0.704530900975364	0.099334801344894	0.313910032130261	2.56606001272766	1.26533998535622	0.112395999268819	1.03133001200468	6.72206939867056	0.280607017346284	0.077622692897601	1.01081010108303	7.37306066631087	2.00657997548561	0.477280971639487	0.341867020172205	0.073658494016721	2.52211020053777	3.41652974586143	2.53208987340817	0.118812020389331	0.393659033422439	1.11614996397503	1.13097989635813	0.362111002526811	0.539450020481838	5.65871026761738	0.463502960609664	0.821460113588219	0.370707063955124	0.44701902730124	0.279713992448002	0.224555008909871	0.660587027184477	0.066821896459843	0.065598302556714	0.078333992272352	1.1250099430745	0.046160905533354	0.180988018492813	1.63935009239967	1.36621984184229	0.28713505096561	0.694490044656821	0.741666905134869	3.99493981292056	0.477901983233765	2.12600010007465	0.55612700237355	0.450037930305326	0.131449008935996	1.41762988411017	2.74746974187659	0.716058074867452	0.683414968724197	0.068149006196448	0.156022023597395	3.62248999564939	2.01396975099963
1.1.1.130 3-dehydro-L-gulonate 2-dehydrogenase	2.23173005729521	0.612236023494557	0	0.194460983098813	0.043339997867087	0.795148954944077	0.087788395063922	0.24431397147952	0	3.43069039211076	0	0	0.173558013142681	0	0.014410901061411	0	0.107973002404991	0	1.61374984645332	1.71235015824684	0.061667201128017	0.912519975091855	0	0.061351194832512	2.30815006435815	1.07013987939845	0	0.258912000266162	13.1874988027017	0.066067502876579	0.082783595434485	0.013136498243431	0.349158021545948	0	0.106371991135809	3.43001959476377	0.101104986326562	0.016799798385338	0	0.023946800528506	0.833411973596675	0	2.39365015444788	0.339059035250951	0	0.453819965142769	0.57299204728445	0	0.298588027397243	0	0.063626397756088	1.34716015584083	0.114832007360043	0.057461302708381	0	0.281138995484064	1.18347010457852	0.059629903519655	0	0.195302998494214	0.810558949381404	0.040085995536946	0.457193046337887	0	0	0	0.006435530152895	0.096315289113965	0.263161015158601	0	0	1.10473005640752	0.384298023616958	1.51718002494244	1.48813005243129	0.222966018503526	0.022830396791097	0	0.102223010463036	1.59139000789329	0.449439994798631	0.00922624993998	0.376211004379096	2.53995977278536	0.308921019096571	0.012719798836151	0	3.28015029643046	0.665932991864297	0.1253529925514	0.134318007925568	0	3.1600502512616	1.10142991807014	0.934886953260327	0.027675304749359	0.074167406296961	0.159684994845991	2.05526981165713	0.045284900315998	0.23452300890437	1.55035007332071	0.030489197408906	0.218754030248432	0.053630109252374	0	0	0	0.01614890066456	0.169325991029278	0.075326202935861	0	0.126090993619796	0.130004015583711	0.01938440198064	1.52153008575891	0.120297986073944	0.509827090492779	0.286033018392381	0.142467981777205	1.79827991578817	0.116045995928758	0.939195044209601	0.070819500302258	0.250144961261551	0.009833680668501	0.718314941278472	1.98609981340692	0.636468066545919	0.712116967410679	0	0.046577307044538	0.836442998995432	0.321887960202867
1.1.1.131 Mannuronate reductase	1.59669004099182	3.34370012831449	2.58683007822574	4.74830958731017	5.5118697287416	0.787453955380103	6.82213961641156	7.0455391775249	0.851215793426951	0.910468104061952	6.49030038624427	3.10394000424309	8.44395063941816	4.97718044656756	8.35934061569302	3.99204973909959	0.113957002538278	0.323099946586732	3.59513965792606	3.24826030018798	2.29364004195526	4.50444987704654	3.96750976536147	4.61581961121875	4.27143011910029	8.62334902817443	6.26869048014784	8.29573000852801	0	0.999481043517405	2.05193988683551	3.81555948979598	5.78769035714853	2.14933986439815	5.28425955965208	4.17851950633299	4.84957934414289	3.26415968627508	6.90293075428324	3.54580007825581	4.66211985229938	2.31562984839803	4.71024030392355	8.11534084372764	1.1206500398167	2.86348978005964	1.59637013173566	6.06836028126243	3.36123030841305	5.64958900855024	5.22538981571618	2.95518034185822	5.03974032301712	2.84660013417165	4.98756994870284	4.86688992182315	4.60514040693784	1.41902008375766	2.75084032184832	2.70345997915632	7.2617095465135	3.88313956766289	6.09903061815505	2.26704995109973	6.09324014215529	6.46844916890131	3.31131007867011	6.43887927224567	5.07322029222764	6.07257067499659	5.91744030335166	3.7958401938156	3.55712021860211	6.16181010130016	3.96770013979398	5.82007048299659	3.01726957591069	4.66986006322524	5.86873060069392	3.57512001773259	7.69696991092297	6.70189995640146	4.90748005712307	5.06005954734731	2.21772013709281	0.693891936509582	2.76907027691257	2.655730240001	3.13493996170044	8.6861294838615	6.61467039030524	1.9499298416072	4.97623039566953	3.6945997251772	6.03239969841018	4.59026078773465	7.90017067074029	4.34049985990559	3.81015965084078	3.84997002686509	4.08936015526483	3.78694017909576	9.28233921114968	5.49587075994703	1.43522024760707	0.05394750329479	7.42300979958616	5.20347020646277	4.14625017062649	3.77256980013302	3.04029011849622	8.06609920427931	3.53373982119276	5.52482066226578	3.04067031068657	1.86760010526467	1.69158980417649	2.10757037408742	2.25489014499304	2.13833972648924	2.65664987559148	1.15668995941985	2.87761013545429	4.87792002081896	2.04291968362529	10.1578006905344	5.40835955787202	5.8960494460691	4.30118044970992	5.26804975891297	3.82684034795546	3.57708054101197	5.26765999367354	6.10996924458418
1.1.1.132 GDP-mannose 6-dehydrogenase	1.28378003295849	0	0.513252015520741	0.116958989834743	1.00751995041642	0.098780094402774	0.072532295921727	0.077560690945798	0	1.87908021476947	0.613796036527616	0.216348000295748	0.077002305831	0.24957402239253	0.216451015942332	0.088606794209103	0	0.048717591946251	0.68776193456014	0.864978079936949	0	0.344299990601987	0.347605979442582	0.028747497578656	0.583820016278653	0.196016977909475	0.0613568046996	1.38493000142371	1.52343986168629	0.134915005874199	0.191854989419197	0.012273798358788	0.090734805599091	0.087407494485461	0.169952985837478	0.585853930784873	0.141388980878554	0.186984982028499	0.049156605371342	0	0.208826993384152	0	1.30591008426254	0.116951012159046	0.327898011650216	0.059950695395277	0.229614018948208	0.058406802707097	0.293367026918185	0.011309398015307	0	1.38223015989777	0.010806200692613	0.012823800604437	0.502005994836868	0.107274998276842	2.41118021306635	0.096751905710781	0.343088040141301	0.231932998211797	0.182136988625727	0.090045689974583	0	1.87225995961535	0.49720701159984	0.040335894817443	0.094675502249301	0.174589980266967	0.156951009040692	0.068456407609272	0	0.136356006962338	0.081422905003828	0.477123007843902	0.233897008240893	0.099804408282578	0.258704963637982	0.841923011398796	1.17952012072978	0.25374000125855	0.210286997566349	0	0.108609001264209	1.38682987593975	0.182718011295079	0.972803910989415	0.079182607918419	1.66173015017222	0.135077998349752	0	0.748288044153484	0.094251592343943	0.573416045593399	0.853432936517391	0.709178964544597	0.053300309146866	1.35431011498364	0.256188991731218	0.576068947209618	0.174555001218045	0	0.668661031622986	0.030945697370111	0.050908107039369	0.039417806800439	0.029275001787942	0	0.010088900400306	0.074010903045697	0.169084991042046	0.238141009281617	0.068988393194295	0.102070994835208	1.5970601914412	0.14384401469755	0.227979012849718	0.100596988354591	0.232046041187476	0.042660202743119	0.1682779784759	0.764172964214468	0.489406982830135	1.11616005253966	1.19438000509761	0.251348961075094	0.060583504118509	0.134274989023154	0.449197957798076	0.134289014040588	0.324624985143862	0	0.024566603715552	0.432976999479995	0.202217974998457
