# taxonomy 	A001_0_h_CD_1_DKDL210010878-1a-N702-N503_HNWKKDSX2_L3_taxonomic_profile	A002_2XSw_0_h_C_DKDL210010878-1a-N701-N504_HNWKKDSX2_L3_taxonomic_profile	A004_2XSw_0_h_C_DKDL210010878-1a-N703-N504_HNWKKDSX2_L3_taxonomic_profile	A005_2XSw_0_h_CD_DKDL210010878-1a-N705-N503_HNWKKDSX2_L3_taxonomic_profile	A006_2XSw_0_h_C_DKDL210010878-1a-N702-N504_HNWKKDSX2_L3_taxonomic_profile	A007_0_h_CD_1_DKDL210010878-1a-N703-N503_HNWKKDSX2_L3_taxonomic_profile	A011_0_h_CD_1_DKDL210010878-1a-N704-N503_HNWKKDSX2_L3_taxonomic_profile	A020_2XSw_0_h_CD_DKDL210010878-1a-N706-N503_HNWKKDSX2_L3_taxonomic_profile	Bacteriodes_Theta_DKDL210010878-1a-N703-N502_HNWKKDSX2_L3_taxonomic_profile	C1_A301_Stool_0h_DKDL210010878-1a-N704-N504_HNWKKDSX2_L3_taxonomic_profile	C2_A304_stool_DKDL210010878-1a-N705-N504_HNWKKDSX2_L3_taxonomic_profile	G95_027_3_5_M_Hs6_DKDL210010878-1a-N701-N503_HNWKKDSX2_L3_taxonomic_profile	G95_027_3_5_vs_10_DKDL210010878-1a-N706-N504_HNWKKDSX2_L3_taxonomic_profile	G_027_3_14_0119_1_DKDL210010878-1a-N705-N502_HNWKKDSX2_L3_taxonomic_profile	G_029_3_16_0119_1_DKDL210010878-1a-N706-N502_HNWKKDSX2_L3_taxonomic_profile	S1_Bacteriodes_F_DKDL210010878-1a-N705-AK394_HNWKKDSX2_L3_taxonomic_profile	S2_C_41569860_P1_DKDL210010878-1a-N701-N502_HNWKKDSX2_L3_taxonomic_profile	S3_309_0h_DKDL210010878-1a-N701-AK394_HNWKKDSX2_L3_taxonomic_profile	S5_363_0h_DKDL210010878-1a-N703-AK394_HNWKKDSX2_L3_taxonomic_profile	S6_363_24h_DKDL210010878-1a-N704-AK394_HNWKKDSX2_L3_taxonomic_profile	S6_C_41671867_DKDL210010878-1a-N702-N502_HNWKKDSX2_L3_taxonomic_profile	Vilionela_DKDL210010878-1a-N704-N502_HNWKKDSX2_L3_taxonomic_profile
k__Bacteria|p__Firmicutes|c__Negativicutes	2.60542	0.09108	3.31925	7.38991	8.12291	1.06287	0.04375	18.91135	0.05959	26.50732	1.45481	5.46654	13.89466	8.17793	7.06519	0	0.27075	10.00879	1.43543	0.63975	0.08886	78.19071
k__Bacteria|p__Synergistetes|c__Synergistia	0	0	0	0	0	0	0	0	0	0	0.00126	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	22.19637	24.71941	19.572	9.68037	15.08232	40.7994	0.09677	37.05946	99.83698	9.30256	35.11995	24.90062	28.2285	26.31504	14.50147	99.94962	6.79874	34.70671	49.41665	54.25448	0.02207	0.01117
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20756	0	0	0	0	0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes	0	0	0	0	0	0	0	0	0	0	0.00189	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	1.2494	0.06527	0.06056	0.15923	0	0	0	0.08953	0	0.23358	0.20612	0.05009	0.07486	0.08918	0.21728	0	0	0.00319	0.0557	0.0023	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0	0.14198	0	0	0.08595	0	0	0	0	0	0.9164	0	0	0	0	0	0	0.0004	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	0.63247	0.06137	0.15534	0.26302	0.32946	0.10528	0	0	0	0.23601	0.39746	0.504	0.32567	0.51231	3.25992	0	0.00865	0.60705	0.18994	0.29803	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria	1.93337	0.78696	0.10291	4.91411	0.31123	0.03368	0.20637	0.10087	0.06546	0.16135	3.54218	14.62435	10.61934	13.89474	36.27211	0.00249	0.4191	0.61383	1.69963	1.9209	0.01886	21.7631
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.00792	0	0.01877	0	0.03988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0	0.01371	0	0.22193	0.01001	0	0	0	0	0	2.74658	0.02066	0.00892	0.01597	0.00471	0	0.36671	0.06239	3.74445	2.43411	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.01009	0	0.00239	0	0.02352	0.01471	0	1.28546	0	0.01194	0.05179	0	0	0	0	0	0.0139	0.31688	0.07253	0.09043	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0	0.0335	0.00265	0	0.30464	0.0036	0	0.01652	0	0.08546	0.84188	0.00111	0	0	0	0	0.00241	0.12666	0.01566	0.01402	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.13368	0.08938	0.39037	21.24355	0.45753	15.73124	76.8489	4.01529	0.00643	0.08641	1.57109	46.1578	38.05514	44.10763	5.13604	0.01602	8.1546	0.39012	0.003	0.0078	99.83045	0.02475
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	0	0.07543	0.2607	0.00761	0.48694	0	0	0	0	2.64764	0.42986	0.00598	0.00287	0.00387	0	0	0	0.4802	1.34868	1.40391	0	0
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0	0	0	0	0.0009	0	0	0	0	0	0	0.00013	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	1.49311	0.87476	2.41416	15.99408	2.48355	0.51577	13.58313	0.61645	0	0.18946	0.5141	0.64527	0.33236	0.45384	0.90332	0	80.62784	0.73335	0.29385	0.27951	0	0.00022
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	69.73816	73.04715	73.70089	40.10528	72.23965	41.73345	9.22108	37.85578	0.03153	60.53827	52.20463	7.62316	8.45769	6.42932	32.63996	0.03186	3.12976	51.93585	41.35951	38.29631	0.03976	0.01005
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	0	0	0	0.02092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	0.35608	0.05895	0.53816	6.94697	5.11637	0.17677	0.0155	11.14894	0.05959	0.07976	1.33859	5.46654	13.89466	8.17793	7.06519	0	0.27075	10.00879	0.09822	0.02648	0.08886	78.19071
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified	0	0	0	0	0	0	0	0.04929	0	0	0	0	0	0	0	0	0	0.01456	0.00153	0.00181	0	0
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	0	0	0	0	0	0	0	0	0	0	0.00126	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	22.19637	24.71941	19.572	9.68037	15.08232	40.7994	0.09677	37.05946	99.83698	9.30256	35.11995	24.90062	28.2285	26.31504	14.50147	99.94962	6.79874	34.70671	49.41665	54.25448	0.02207	0.01117
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.18321	0.01989	0.05651	0	2.54263	0.52094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20756	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2.06614	0.01223	2.72459	0.44294	0.46391	0.36516	0.02825	7.76241	0	26.42756	0.11622	0	0	0	0	0	0	0	1.33721	0.61327	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	0.00106	0	0.08507	0	0.09399	0	0	0	0	0	0	0.0261	0.01531	0.02276	0.00143	0	0	0	0	0.00379	0	0
k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified	0	0	0	0	0	0	0	0	0	0	0	0.0003	0	0.00017	0	0	0	0	0.36345	0.35665	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	0.12171	0	0	0.05841	0.03988	0.00342	0	0	0	0.04545	0	0.0005	0	0	0.13305	0	0	0.03239	0.08702	0.11892	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0	0	0	0	0	0.00738	0	0	0	0	0.00011	0.0142	0.00582	0.00821	0	0	0	0.00248	0	0.00021	0	0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	0	0	0	0	0	0	0	0	0	0	0.00189	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	0.51076	0.06137	0.15534	0.20461	0.28958	0.10186	0	0	0	0.19056	0.39746	0.5035	0.32567	0.51231	3.12687	0	0.00865	0.57466	0.10292	0.17911	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	0	0	0.00239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	1.2494	0.06527	0.06056	0.15923	0	0	0	0.08953	0	0.23358	0.20612	0.05009	0.07486	0.08918	0.21728	0	0	0.00319	0.0557	0.0023	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0	0.14198	0	0	0.08595	0	0	0	0	0	0.9164	0	0	0	0	0	0	0.0004	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	1.93231	0.78696	0.01783	4.91411	0.21724	0.0263	0.20637	0.10087	0.02183	0.16105	3.54207	14.58069	8.75293	13.8236	36.26975	0.00249	0.33818	0.61135	1.69963	1.91238	0.01886	0.00481
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.01009	0	0	0	0.02352	0.01471	0	1.28546	0	0.01194	0.05179	0	0	0	0	0	0.0139	0.31688	0.07253	0.09043	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales	0	0	0	0	0	0	0	0	0.04364	0.0003	0	0.00336	1.84528	0.04017	0.00093	0	0.08091	0	0	0.00452	0	21.75829
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.00418	0	0.36518	0	0.43153	0	0	0	0	0.0017	0	0.01519	0.0191	0.0223	0.00249	0	0	0.00477	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	0	0	0	0	0	0	0	0	0	0	0.03418	0.03259	0.02514	0.036	0	0	0.09296	0	0	0	0	0
