# Gene Family	A001_0_h_CD_1	A002_2XSw_0_h_C	A004_2XSw_0_h_C	A005_2XSw_0_h_CD	A006_2XSw_0_h_C	A007_0_h_CD_1	A011_0_h_CD_1	A020_2XSw_0_h_CD	A_302	A_311	A_312	A_413	A_416	A_419	A_422	A_423	A_425	A_455	BM	BS	C1_A301_Stool_0h	C2_A304_stool	CR	CS	CU_fresh	Coded	DA_fresh	HP	HY_fresh	LDC1	LDC6	LDC7	NE	S3_309_0h	S5_363_0h	SH_002	SH_007	SH_011	SH_012	SH_013	SH_014	SH_015	SH_016	SH_017	SH_021	SH_022	SH_023	SH_024	SH_025	SH_028	SH_029	SH_031	SH_032	SH_033	SH_034	SH_038	SH_039	SH_042	SH_043	SH_044	SH_045	SH_047	SH_050	SH_051	SH_053	SH_054	SH_055	SH_057	SH_058	SH_059	SH_060	SH_061	SH_062	SH_063	SH_064	SH_065	SH_066	SH_068	SH_069	SH_070	SH_071	SH_072	SH_073	SH_077	SH_078	SH_079	SH_080	SH_082	SH_083	SH_084	SH_085	SH_086	SH_087	SH_089	SH_090	SH_091	SH_093	SH_094	SH_095	SH_096	SH_097	SH_099	SH_100	SH_102	SH_103	SH_104	SH_105	SH_106	SH_107	SH_108	SH_109	SH_110	SH_111	SH_112	SH_113	SH_114	SH_117	SH_118	SH_119	SH_122	SH_123	SH_124	SH_125	SH_127	SH_129	SH_133	SH_134	SH_136	SH_137	SH_138	SH_141	SH_142	SH_143	SH_144	SH_146	SH_148	SH_149	SH_150	SH_151	SH_152	SH_153	SH_154	SH_160	SH_162	SH_164	SH_166	SH_179	SH_181	SH_189	SH_191	SH_193	SH_194	SH_195	SH_198	SH_199	SH_200	SH_201	SH_203	SH_204	SH_205	SH_206	SH_207	SH_208	SH_209	SH_210	SH_211	SH_212	SH_214	SH_215	SH_216	SH_217	SH_227	SH_228	SH_230	SH_231	SH_232	SH_234	SH_235	SH_236	SH_237	SH_238	SH_239	SH_240	SH_241	SH_242	SH_243	SH_245	SH_247	SH_248	SH_250	SH_251	SH_252	SH_253	SH_500	SH_501	SH_502	SH_503
1.14.11.17	0	0	0	0.000649376	1.27339e-06	0.000312518	0.0006934	0.000114138	3.90637e-05	0	0	0	5.48934e-06	0	1.73447e-06	0.000103799	9.91834e-07	0	9.34948e-07	0	1.21285e-06	3.47211e-05	0	3.92211e-06	8.39212e-06	5.83513e-07	6.13767e-06	6.96716e-06	1.21495e-06	2.43276e-06	0.000218449	5.66878e-05	0	4.41648e-06	0	0.000518297	1.97212e-06	0	1.26749e-05	0	3.12938e-05	3.02617e-05	6.39965e-05	0	0.000798719	0	0	1.16268e-05	0.000507476	7.52702e-06	0	7.71122e-06	0	0	0.000898522	8.41824e-05	4.08407e-06	6.63921e-05	0	2.65614e-05	0.000220992	4.37009e-05	7.35969e-06	5.56858e-05	0.000723497	0	7.8486e-06	4.35281e-06	3.05926e-05	0	1.0759e-05	0.000261966	0	1.72475e-06	9.38568e-06	0	0	6.14724e-05	6.34727e-07	5.81164e-05	0	0.000103492	2.19252e-05	0	1.95299e-05	2.90987e-05	0	1.77328e-06	5.6702e-06	0	0	1.6962e-05	1.25688e-05	2.05971e-05	0	0	7.7585e-06	0.000132174	0	0	0	9.0919e-06	4.95048e-05	0	8.21037e-05	0.000143441	0	2.69285e-06	0	2.67043e-05	4.4408e-06	0	0	3.82707e-05	1.57703e-05	4.85938e-05	8.45935e-05	1.85579e-05	6.52862e-07	0	2.36427e-06	1.66642e-05	0.000206367	1.81199e-06	2.8637e-06	2.29305e-05	0.000145818	8.22266e-07	2.49421e-05	0.000576767	0	0.000234891	4.28246e-05	3.58565e-05	3.94845e-06	0	0.000122784	6.89533e-05	0.00012136	0	2.25975e-05	2.23411e-05	0.000213498	3.27026e-06	3.02297e-06	0.000108413	0	0	1.12964e-05	0	0	0	0	1.00225e-06	1.35915e-05	3.622e-06	0.000481615	0.000146798	1.71212e-05	2.33888e-05	0	7.98027e-06	0.000129158	0	0.000303838	2.87644e-05	0	1.51194e-05	0	0.000446232	7.39308e-07	0	0	2.22337e-06	5.38615e-05	0	0	1.84434e-06	7.673e-06	6.45231e-06	0	0.000204108	0	5.80631e-05	9.57654e-06	8.90421e-06	0	5.84466e-05	1.61258e-06	0.000109266	0	1.57853e-05	5.48698e-06	0	2.38712e-05	0.000108815	1.54245e-05
1.14.11.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.29668e-06	0	0	0	0	0	0	2.21778e-06	2.59297e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.14.11.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.84591e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.14.11.33	0	0	0	4.21616e-05	0	6.29447e-05	3.61969e-05	2.31819e-05	0	0	0	0	0	0	0	1.76967e-05	0	0	0	0	0	1.34934e-06	0	0	2.43666e-06	0	0	0	0	0	4.7956e-05	2.09796e-06	0	0	0	0	1.81498e-06	0	0	0	8.26965e-06	1.55607e-06	0	0	3.70254e-05	0	0	1.65317e-06	0	0	0	0	0	0	7.93933e-05	3.25906e-05	0	2.46532e-05	0	0	1.77644e-05	5.46139e-06	0	0	1.62651e-06	0	0	0	0	0	8.26447e-06	4.49599e-05	0	0	0	0	0	0	0	0	0	0	6.87e-06	0	0	0	0	0	0	4.48325e-07	0	0	1.51048e-06	1.87722e-06	0	0	9.60434e-07	1.7699e-05	0	0	0	0	2.80439e-06	0	0	0	0	0	0	4.87051e-07	0	0	0	2.89922e-05	1.73444e-07	5.05649e-06	1.44754e-05	5.54667e-06	0	0	0	0	3.73766e-05	0	0	1.14853e-05	1.77027e-05	0	0	0	0	2.46299e-05	1.40154e-05	4.98731e-06	0	0	1.23943e-05	8.58697e-06	2.79322e-06	0	0	3.97526e-06	2.28159e-05	8.07632e-07	1.17431e-06	1.17934e-05	2.27252e-06	0	0	0	0	0	0	0	0	0	2.09849e-05	0.000105669	4.86471e-06	0	0	0	0	0	8.45842e-05	0	0	7.26149e-07	0	1.575e-05	0	0	0	2.12004e-06	1.58235e-05	0	0	5.44747e-07	8.30141e-07	9.57523e-07	7.20756e-07	6.19541e-05	0	1.24535e-06	0	1.53986e-06	0	1.28674e-05	0	2.61695e-06	0	4.0502e-06	0	0	0	0	2.7936e-06
1.14.11.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.39262e-07	0	0	0	0	0	0	0	0	0	2.78529e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.14.11.47	4.69835e-07	1.23136e-06	0	5.61368e-05	1.61919e-07	1.97882e-05	9.08132e-05	8.43337e-06	4.7778e-05	0	0	0	0	0	0	8.96774e-07	0	0	0	0	0	3.48108e-06	0	0	1.14597e-06	1.14865e-07	0	0	0	0	1.5385e-05	0	0	0	0	4.97421e-05	0	0	0	0	4.72752e-07	4.93814e-07	2.99219e-06	0	6.99967e-05	0	0	1.85484e-06	3.83174e-05	0	2.31038e-07	1.7589e-06	0	0	2.4546e-05	0	0	7.50645e-07	0	0	8.25798e-06	2.4981e-06	0	1.07435e-06	4.60053e-05	0	0	0	0	0	0	1.54011e-05	0	0	0	0	0	0	0	0	0	0	6.71306e-07	0	2.83605e-07	3.74568e-07	0	0	2.05903e-07	0	0	1.55997e-06	1.10631e-06	1.39113e-06	0	0	6.74974e-07	4.44956e-06	0	0	0	0	3.14673e-06	0	0	0	0	0	0	0	0	0	0	0	1.62359e-06	6.41185e-06	3.66925e-06	2.6817e-06	0	0	0	0	1.22908e-05	0	0	0	1.75773e-05	0	2.83656e-05	3.55627e-07	0	1.75298e-05	3.06372e-06	3.75579e-06	1.43813e-06	0	5.18247e-06	4.21924e-06	1.45771e-05	0	0	9.25124e-07	1.38121e-05	0	0	6.62702e-06	0	0	2.48422e-06	0	0	0	0	0	0	4.26693e-07	2.8092e-05	0	3.25532e-06	0	0	0	1.55619e-06	0	1.83087e-05	0	0	1.35894e-06	0	1.74672e-05	0	0	0	0	5.13861e-07	0	0	0	9.56123e-07	1.15929e-06	1.15022e-06	2.75137e-05	0	5.96556e-06	4.58649e-07	7.47309e-07	0	2.47124e-06	4.00992e-07	4.80009e-06	0	0	0	0	0	1.00885e-05	1.9344e-07
1.14.11.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.48715e-06	0	5.08917e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	2.45742e-05	0	3.34035e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.14.12.1	8.35757e-07	0	0	5.4607e-05	0	4.66907e-05	0.000159314	7.26627e-06	0	0	0	0	0	0	0	2.00172e-05	0	0	0	0	0	1.64323e-06	0	6.15965e-07	1.07195e-06	0	0	0	0	0	2.02386e-05	1.39877e-06	0	0	0	9.22083e-05	0	0	0	0	1.86509e-06	0	2.40463e-06	0	0.000127033	0	0	8.5999e-06	6.47698e-05	0	3.70243e-07	0	0	0	2.37871e-05	1.7891e-05	0	0	0	0	1.88169e-05	2.74113e-06	0	6.4032e-07	6.42804e-05	0	2.59658e-06	1.65089e-06	1.39455e-06	0	1.91321e-06	6.31212e-06	0	3.24313e-06	0	0	0	0	0	0	0	0	0	0	0	1.60898e-06	0	0	4.69982e-07	4.45377e-07	0	5.77043e-06	0	1.46928e-06	0	0	0	5.0903e-06	0	0	0	0	5.54953e-06	0	0	0	0	0	0	0	0	0	0	0	5.50807e-06	1.32482e-05	3.33366e-06	3.05624e-06	8.20948e-07	0	0	1.2059e-05	2.10957e-05	0	8.88468e-07	0	6.38096e-05	0	0	4.74543e-07	0	8.14752e-05	4.02346e-06	1.8183e-06	5.37084e-06	0	3.21255e-06	1.29203e-05	2.08339e-05	0	0	3.51624e-06	4.68156e-06	4.4595e-07	0	3.22726e-05	2.83491e-06	0	1.21635e-06	0	0	0	0	0	0	0	4.82157e-05	0	3.62932e-06	1.38724e-05	0	4.1944e-06	2.7587e-05	0	5.40764e-05	0	0	5.0067e-06	0	3.56012e-05	0	0	0	0	1.50594e-06	0	0	0	1.48736e-06	1.69348e-06	0	3.7091e-05	3.18663e-07	1.89766e-05	3.15858e-07	3.46065e-06	0	8.10654e-06	3.22378e-06	6.56944e-06	0	0	0	0	0	1.02022e-05	4.29399e-07
1.14.12.10	0	0	0	4.0592e-05	0	2.39588e-05	9.24507e-05	6.10571e-06	0	0	0	0	0	0	0	1.08038e-05	0	0	0	0	0	2.61755e-06	0	0	0	0	0	0	0	0	3.17864e-05	0	0	1.74856e-06	0	3.39701e-05	0	0	0	0	7.27283e-07	0	2.0276e-06	0	8.0692e-05	0	0	5.07887e-06	5.90852e-05	0	0	3.2753e-06	0	0	2.80512e-05	7.91094e-06	0	1.41563e-06	0	2.23642e-06	1.5131e-05	0	2.22789e-06	0	5.35965e-05	0	0	0	1.06072e-05	0	0	6.23156e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.51439e-06	0	0	0	0	0	2.18836e-06	0	0	0	0	0	5.71357e-06	0	0	0	0	4.05892e-06	0	1.71444e-06	0	0	0	0	0	0	0	0	0	1.36864e-06	5.68588e-06	0	3.58382e-06	0	0	0	1.95034e-06	1.20024e-05	0	0	0	2.97733e-05	0	1.86979e-05	0	0	3.54034e-05	3.47389e-06	1.36335e-05	0	0	5.04024e-06	6.8185e-06	1.32598e-05	0	2.66124e-06	2.32667e-06	5.81636e-06	6.71171e-07	0	1.87114e-05	0	0	0	0	0	0	0	4.02071e-06	0	1.60305e-06	4.15378e-05	0	3.69165e-06	2.33146e-05	0	1.36286e-06	1.56086e-05	1.39043e-06	3.21854e-05	0	0	0	0	4.37014e-05	0	0	0	5.81229e-07	1.22731e-06	1.24668e-06	0	0	0	0	0	2.82211e-05	0	9.97363e-06	0	0	0	4.99794e-06	1.36186e-06	8.11756e-07	0	0	0	0	0	1.16106e-05	0
1.14.12.13	0	0	0	0	0	2.72831e-06	7.15174e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.4242e-05	0	0	1.19921e-06	0	3.60572e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2753e-06	0	0	1.53146e-05	0	0	0	0	4.40973e-06	1.35789e-06	0	4.90279e-06	0	8.71614e-07	0	0	0	2.96116e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.30776e-06	0	6.85872e-06	0	0	0	0	0	0	9.91366e-07	0	1.58166e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	4.7318e-07	0	1.93697e-06	5.8414e-06	9.41564e-06	0	0	0	0	0	0	0	0	0	0	1.95674e-05	0	0	0	0	0	0	1.23007e-06	1.47764e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.65943e-07	1.3436e-05	0	0	0	0	3.0461e-05	0	0	0	5.81229e-07	0	0	0	0	0	0	0	5.0817e-07	0	0	0	0	0	5.05452e-07	1.36186e-06	0	0	8.84001e-07	0	1.47685e-06	0	0	0
