Sample	raw pair1	raw pair2	trimmed pair1	trimmed pair2	trimmed orphan1	trimmed orphan2	decontaminated hg37dec_v0.1_0 pair1	decontaminated hg37dec_v0.1_0 pair2	decontaminated hg37dec_v0.1_1 pair1	decontaminated hg37dec_v0.1_1 pair2	decontaminated hg37dec_v0.1_0 orphan1	decontaminated hg37dec_v0.1_0 orphan2	decontaminated hg37dec_v0.1_1 orphan1	decontaminated hg37dec_v0.1_1 orphan2	final pair1	final pair2	final orphan1	final orphan2
PSM7J14T	7838650.0	7838650.0	7838650.0	7838650.0	NA	NA	7838598.0	7838598.0	7838598.0	7838598.0	1.0	1.0	1.0	1.0	7838598.0	7838598.0	1.0	1.0
PSM7J14X	9230220.0	9230220.0	9230220.0	9230220.0	NA	NA	9221789.0	9221789.0	9221789.0	9221789.0	145.0	188.0	145.0	188.0	9221789.0	9221789.0	145.0	188.0
PSM7J154	11283136.0	11283136.0	11283136.0	11283136.0	NA	NA	11283012.0	11283012.0	11283012.0	11283012.0	6.0	11.0	6.0	11.0	11283012.0	11283012.0	6.0	11.0
PSM7J156	9469030.0	9469030.0	9469030.0	9469030.0	NA	NA	9468936.0	9468936.0	9468936.0	9468936.0	2.0	3.0	2.0	3.0	9468936.0	9468936.0	2.0	3.0
PSM7J158	11064235.0	11064235.0	11064235.0	11064235.0	NA	NA	11062994.0	11062994.0	11062994.0	11062994.0	44.0	20.0	44.0	20.0	11062994.0	11062994.0	44.0	20.0
PSM7J15A	10540118.0	10540118.0	10540118.0	10540118.0	NA	NA	10540032.0	10540032.0	10540032.0	10540032.0	3.0	2.0	3.0	2.0	10540032.0	10540032.0	3.0	2.0
PSM7J15G	11954441.0	11954441.0	11954441.0	11954441.0	NA	NA	11953447.0	11953447.0	11953447.0	11953447.0	26.0	27.0	26.0	27.0	11953447.0	11953447.0	26.0	27.0
PSM7J15I	7960353.0	7960353.0	7960353.0	7960353.0	NA	NA	7960046.0	7960046.0	7960046.0	7960046.0	14.0	8.0	14.0	8.0	7960046.0	7960046.0	14.0	8.0
PSM7J15K	7652342.0	7652342.0	7652342.0	7652342.0	NA	NA	7651213.0	7651213.0	7651213.0	7651213.0	46.0	41.0	46.0	41.0	7651213.0	7651213.0	46.0	41.0
PSM7J15M	5180214.0	5180214.0	5180214.0	5180214.0	NA	NA	5180128.0	5180128.0	5180128.0	5180128.0	2.0	3.0	2.0	3.0	5180128.0	5180128.0	2.0	3.0
